z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,Ratio,eta_fwd,eta_bwd
6,42,29,74,0.5,0.5,-0.5,0.75,99.85542168674698,0.8012795342515107,0.7793851514258637
6,42,29,73,0.5,-0.25,0.0,1.0,107.57894736842105,0.7768322433539726,0.7460989689907429
6,42,29,73,0.5,0.0,-0.25,1.0,107.57894736842105,0.7776001370013732,0.7452237822923842
6,42,29,73,0.5,0.75,-0.5,1.5,107.57894736842105,0.7760042612009156,0.7467013840754506
6,42,29,74,0.5,0.0,0.0,0.75,99.85542168674698,0.8011722722385735,0.7788997652022339
6,42,30,76,0.25,0.25,-0.5,-0.25,103.80487804878048,0.7883190071607249,0.7614607290980291
6,42,29,73,0.0,0.25,0.5,1.5,107.57894736842105,0.7744008365545595,0.7466154982745871
6,42,31,78,0.25,0.25,-0.5,-0.75,107.85185185185183,0.7757187714415242,0.7431597856335018
6,42,29,74,0.5,0.5,-0.25,1.0,99.85542168674698,0.8002142496669824,0.7778964513094951
6,42,31,78,0.5,0.25,-0.5,-0.5,107.85185185185183,0.7759488823912469,0.7420918801488471
6,42,29,73,0.0,0.25,0.25,1.25,107.57894736842105,0.7738442592836052,0.7458049884395541
6,42,29,74,0.5,0.25,-0.25,0.5,99.85542168674698,0.8001858527681762,0.7769728065203279
6,42,29,74,0.5,0.25,0.0,1.0,99.85542168674698,0.8001041909683164,0.7768577369543498
6,42,29,74,0.25,0.5,-0.25,0.75,99.85542168674698,0.799071596603555,0.7774249824084558
6,42,30,76,0.25,0.5,-0.5,-0.25,103.80487804878048,0.7862521762807982,0.7594413489891668
6,42,29,73,0.25,0.25,-0.25,1.0,107.57894736842105,0.7754153979302318,0.7426874388194613
6,42,29,74,0.25,0.25,0.0,0.75,99.85542168674698,0.7989644932542767,0.7764066032865498
6,42,30,76,0.25,0.5,-0.25,0.25,103.80487804878048,0.7857815693309221,0.7587607843434278
